"",Emissions (Gg CO2 ,"",""
Portugal* ,65 071 ,0.18 ,2013 
Qatar ,61 593 ,0.17 ,2007 
Republic of Korea ,688 300 ,1.85 ,2012 
Republic of Moldova ,13 276 ,0.04 ,2010 
Romania* ,110 928 ,0.30 ,2013 
Russian Federation ,2 799 434 ,7.53 ,2013 
Rwanda ,6 180 ,0.02 ,2005 
Saint Kitts and Nevis ,164 ,0.00 ,1994 
Saint Lucia ,551 ,0.00 ,2000 
Saint Vincent and the ,410 ,0.00 ,1997 
Grenadines ,"","",""
Samoa ,352 ,0.00 ,2007 
San Marino ,267 ,0.00 ,2010 
Sao Tome and Principe ,99 ,0.00 ,2005 
Saudi Arabia ,296 060 ,0.80 ,2000 
Senegal ,16 882 ,0.05 ,2000 
Serbia ,66 342 ,0.18 ,1998 
Seychelles ,330 ,0.00 ,2000 
Sierra Leone ,365 107 ,0.98 ,2000 
Singapore ,46 832 ,0.13 ,2010 
Slovakia* ,43 679 ,0.12 ,2013 
Slovenia* ,18 166 ,0.05 ,2013 
Solomon Islands ,294 ,0.00 ,1994 
Somalia ,n/a ,n/a ,n/a 
South Africa ,544 314 ,1.46 ,2010 
South Sudan ,n/a ,n/a ,n/a 
Spain* ,322 003 ,0.87 ,2013 
Sri Lanka ,18 797 ,0.05 ,2000 
Sudan ,67 840 ,0.18 ,2000 
Suriname ,3 330 ,0.01 ,2003 
Swaziland ,18 658 ,0.05 ,2000 
Sweden* ,55 774 ,0.15 ,2013 
Switzerland ,52 561 ,0.14 ,2013 
Syrian Arab Republic ,79 070 ,0.21 ,2005 
Tajikistan ,8 184 ,0.02 ,2010 
Thailand ,236 947 ,0.64 ,2000 
The former Yugoslav ,12 265 ,0.03 ,2012 
Republic of Macedonia ,"","",""
Timor-Leste ,1 277 ,0.00 ,2010 
Togo ,6 248 ,0.02 ,2005 
Tonga ,245 ,0.00 ,2000 
Trinidad and Tobago ,16 006 ,0.04 ,1990 
Tunisia ,39 342 ,0.11 ,2010 
Turkey ,459 102 ,1.24 ,2013 
Turkmenistan ,75 409 ,0.20 ,2004 
Tuvalu ,6 ,0.00 ,1994 
Uganda ,27 560 ,0.07 ,2000 
Ukraine ,385 933 ,1.04 ,2013 
United Arab Emirates ,195 308 ,0.53 ,2005 
United Kingdom of Great ,575 696 ,1.55 ,2013 
Britain and Northern Ireland* ,"","",""
United Republic of Tanzania ,40 506 ,0.11 ,1990 
United States of America ,6 649 700 ,17.89 ,2013 
Uruguay ,18 237 ,0.05 ,2010 
Uzbekistan ,199 837 ,0.54 ,2005 
Vanuatu ,299 ,0.00 ,1994 
Venezuela (Bolivarian ,192 192 ,0.52 ,1999 
Republic of) ,"","",""
Viet Nam ,266 049 ,0.72 ,2010 
Yemen ,25 742 ,0.07 ,2000 
Zambia ,14 405 ,0.04 ,2000 
Zimbabwe ,68 541 ,0.18 ,2000 
Total ,37 168 339 ,100 ,""
